client_id,visitor_id,visit_id,process_step,date_time
1643,910842861_51062379179,379946188_1773022140_107963,start,2017-04-15 15:06:00
1643,910842861_51062379179,633860590_96880450633_976109,start,2017-04-24 06:36:07
1643,910842861_51062379179,633860590_96880450633_976109,step_1,2017-04-24 06:36:32
1643,910842861_51062379179,633860590_96880450633_976109,start,2017-04-24 06:37:17
1643,910842861_51062379179,633860590_96880450633_976109,start,2017-04-24 06:38:20
1677,361240963_15830034505,494607202_74539107264_966618,start,2017-03-31 10:59:27
1677,361240963_15830034505,494607202_74539107264_966618,step_1,2017-03-31 10:59:41
1677,361240963_15830034505,494607202_74539107264_966618,step_2,2017-03-31 11:00:40
1677,361240963_15830034505,494607202_74539107264_966618,start,2017-03-31 11:01:50
1680,262688118_24224945474,807102410_81976926205_767113,start,2017-03-15 09:57:21
1680,262688118_24224945474,807102410_81976926205_767113,start,2017-03-15 09:57:38
1702,470573753_93844895765,243444359_78696078676_118990,confirm,2017-04-01 11:44:04
3647,742136411_92170694666,492965200_82386590930_211259,start,2017-04-10 12:28:09
3741,593445044_83889448223,235429720_60851469264_303311,start,2017-04-10 14:52:05
4717,263467736_20983070341,272348829_81139455656_832357,start,2017-04-23 17:17:10
4717,263467736_20983070341,272348829_81139455656_832357,step_1,2017-04-23 17:17:27
4717,263467736_20983070341,272348829_81139455656_832357,step_2,2017-04-23 17:18:20
4717,263467736_20983070341,272348829_81139455656_832357,step_3,2017-04-23 17:21:34
4717,263467736_20983070341,272348829_81139455656_832357,start,2017-04-23 17:22:34
5845,107020087_57150768871,568024739_52280552355_814744,start,2017-04-12 12:14:40
5845,107020087_57150768871,568024739_52280552355_814744,step_1,2017-04-12 12:14:51
5845,107020087_57150768871,568024739_52280552355_814744,step_2,2017-04-12 12:15:52
5845,107020087_57150768871,568024739_52280552355_814744,step_3,2017-04-12 12:18:07
5845,107020087_57150768871,568024739_52280552355_814744,step_3,2017-04-12 12:34:10
9767,764845651_97641705844,489352012_61191794311_961146,start,2017-04-26 16:32:56
9767,764845651_97641705844,489352012_61191794311_961146,start,2017-04-26 16:32:57
9767,764845651_97641705844,489352012_61191794311_961146,step_1,2017-04-26 16:34:08
9767,764845651_97641705844,489352012_61191794311_961146,step_2,2017-04-26 16:34:18
9767,764845651_97641705844,489352012_61191794311_961146,step_3,2017-04-26 16:36:54
13831,841596667_34744324631,146214316_74585352883_309974,start,2017-03-30 14:57:22
13831,841596667_34744324631,146214316_74585352883_309974,start,2017-03-30 14:57:51
13831,841596667_34744324631,146214316_74585352883_309974,start,2017-03-30 15:35:48
13831,841596667_34744324631,146214316_74585352883_309974,step_1,2017-03-30 15:36:01
13831,841596667_34744324631,146214316_74585352883_309974,start,2017-03-30 15:36:20
15543,117157666_16187159734,507840903_4082653486_392155,start,2017-03-30 20:16:52
16549,507602243_76391579078,759603929_42439826632_450754,start,2017-03-30 08:55:11
16549,784001246_8842193453,64524171_30897881403_51439,start,2017-04-08 16:48:29
16549,784001246_8842193453,64524171_30897881403_51439,step_1,2017-04-08 16:48:48
16549,784001246_8842193453,64524171_30897881403_51439,step_2,2017-04-08 16:50:11
16549,784001246_8842193453,64524171_30897881403_51439,step_3,2017-04-08 16:53:39
16549,784001246_8842193453,64524171_30897881403_51439,step_2,2017-04-08 16:54:04
16549,784001246_8842193453,64524171_30897881403_51439,step_3,2017-04-08 16:54:13
