client_id,clnt_age,clnt_tenure_yr,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,tenure_segment,age_segment,bal_category
555,29,3,U,2,25454.66,2,6,new,young,bajo
647,57,12,M,2,30525.8,0,4,long_tenure,middle,bajo
934,51,9,F,2,32522.88,0,3,new,middle,bajo
1028,36,12,M,3,103520.22,1,4,long_tenure,middle,medio
1104,48,5,U,3,154643.94,6,9,new,middle,alto
1186,22,8,U,2,31662.52,0,3,new,young,bajo
1195,54,21,M,2,28457.96,2,5,long_tenure,middle,bajo
1197,28,7,U,5,177062.14,5,8,new,young,alto
1346,46,14,F,2,822512.91,3,6,long_tenure,middle,alto
1368,45,5,F,3,61956.25,6,9,new,middle,medio
1516,58,12,F,2,25408.39,5,8,long_tenure,middle,bajo
1643,55,19,M,2,81731.39,0,3,long_tenure,middle,medio
1702,62,21,U,3,1769255.99,5,8,long_tenure,old,alto
1755,46,9,M,2,179775.21999999997,0,3,new,middle,alto
1836,51,13,M,2,826232.62,4,7,long_tenure,middle,alto
1936,26,5,M,2,52447.9,6,9,new,young,medio
2439,56,11,M,2,504142.55,0,3,long_tenure,middle,alto
2581,22,4,M,2,24976.79,1,4,new,young,bajo
2720,25,9,M,3,81536.0,6,9,new,young,medio
3232,52,9,F,2,45617.96,3,6,new,middle,medio
3572,54,15,M,2,84673.58,0,3,long_tenure,middle,medio
3647,63,15,F,2,154244.15,4,7,long_tenure,old,alto
3743,30,6,U,3,48262.21,3,6,new,young,medio
4369,70,14,F,2,191263.96,0,3,long_tenure,old,alto
4484,48,16,M,2,51499.77,2,5,long_tenure,middle,medio
4603,38,12,F,2,48726.26,6,9,long_tenure,middle,medio
4717,58,7,U,2,1739571.5499999998,6,9,new,middle,alto
4870,26,21,M,3,89408.8,6,9,long_tenure,young,medio
5354,50,4,U,2,62282.38,2,5,new,middle,medio
5845,76,23,F,2,213906.62,2,5,long_tenure,old,alto
6022,30,7,U,2,36485.55,6,9,new,young,bajo
6150,67,27,F,2,199928.94,2,6,long_tenure,old,alto
6642,35,12,M,2,34987.23,0,3,long_tenure,middle,bajo
6904,64,12,M,2,348285.51,6,9,long_tenure,old,alto
6977,53,4,U,2,26011.36,0,3,new,middle,bajo
6985,61,7,U,3,84975.6,6,9,new,old,medio
7020,41,16,F,2,63648.09,2,5,long_tenure,middle,medio
7561,33,11,M,2,35070.619999999995,6,9,long_tenure,middle,bajo
7563,29,8,M,3,186719.52,6,9,new,young,alto
7567,33,21,F,2,27165.99,1,5,long_tenure,middle,bajo
7657,41,18,M,2,55643.37,2,5,long_tenure,middle,medio
7723,54,30,M,4,571316.8,5,8,long_tenure,middle,alto
7934,44,20,F,2,126480.9,6,9,long_tenure,middle,medio
8023,50,21,F,2,34676.55,3,6,long_tenure,middle,bajo
8039,58,18,U,2,79960.0,6,9,long_tenure,middle,medio
8055,55,22,M,2,710672.04,5,8,long_tenure,middle,alto
8101,70,11,M,2,257863.03,6,9,long_tenure,old,alto
8124,42,14,M,2,61022.23,5,8,long_tenure,middle,medio
8610,27,8,U,2,36626.55,0,3,new,young,bajo
8712,38,9,U,2,84995.78,1,4,new,middle,medio
8820,25,4,U,2,44159.49,2,5,new,young,medio
9229,42,8,M,2,78242.15,6,9,new,middle,medio
9751,36,5,M,2,30597.08,4,7,new,middle,bajo
9767,34,6,M,2,29523.54,1,4,new,middle,bajo
9845,25,5,F,2,31196.85,0,3,new,young,bajo
9916,40,17,M,2,162968.55,4,7,long_tenure,middle,alto
10344,82,17,M,2,94009.47,3,6,long_tenure,old,medio
10363,26,6,U,3,81518.45999999999,6,9,new,young,medio
11040,31,5,U,3,50531.17999999999,6,9,new,young,medio
11054,60,4,M,2,208185.54,2,5,new,old,alto
11070,53,14,M,3,255988.05,6,9,long_tenure,middle,alto
11122,40,16,M,2,31193.51,2,5,long_tenure,middle,bajo
11309,46,10,F,3,647166.9600000001,5,8,long_tenure,middle,alto
11880,27,5,U,2,61355.21,6,9,new,young,medio
12045,37,12,F,2,140704.74,2,5,long_tenure,middle,alto
12785,51,15,F,2,82425.54999999999,2,5,long_tenure,middle,medio
13009,63,10,U,2,71534.88,1,4,long_tenure,old,medio
13735,27,11,M,2,119530.99,5,8,long_tenure,young,medio
13831,42,16,F,3,241208.2,6,9,long_tenure,middle,alto
14690,43,6,M,3,205881.18,5,8,new,middle,alto
14775,28,15,F,4,150775.9,5,8,long_tenure,young,alto
15050,52,26,F,3,65688.56,6,9,long_tenure,middle,medio
15189,19,5,U,3,52505.2,1,4,new,young,medio
15753,58,6,M,2,59565.0,3,6,new,middle,medio
15807,27,4,F,2,59259.9,3,6,new,young,medio
16095,30,6,U,2,81652.98,1,4,new,young,medio
16098,36,6,U,3,58643.48,2,5,new,middle,medio
16135,63,14,F,2,173616.2,3,6,long_tenure,old,alto
16202,36,7,U,2,32984.48,1,4,new,middle,bajo
